grid_row,grid_col,building_id,profile_id,lon,lat,landuse,roof_area_m2
9,17,201006.0015801,Com_34599,-122.40203130562273,37.796304456431436,commercial,119.486
9,18,201006.0117767,Com_32309,-122.40199335191802,37.7962132598,industrial,100.645
9,19,201006.0005762,Com_32309,-122.40251265757146,37.79692688877491,industrial,394.246
9,20,201006.0001766,Com_46253,-122.40120558212602,37.79515788884942,industrial,120.774
9,21,201006.0004798,Com_17641,-122.40227247854091,37.796381816683535,industrial,402.580
9,22,201006.0000873,Com_34504,-122.40076223517809,37.79431402214143,industrial,92.903
9,23,201006.0003644,Com_26114,-122.40111798262514,37.794663911960725,industrial,60.387
9,24,201006.0001688,Com_28041,-122.40045514235112,37.79387185972528,industrial,36.598
9,25,201006.0002127,Com_53860,-122.39898651354615,37.79261542043373,industrial,29.457
9,26,201006.0002283,Com_34904,-122.39958717891122,37.79298592405353,industrial,71.043
9,27,201006.0001422,Com_36069,-122.3971546989145,37.791246016958105,industrial,31.783
9,28,201006.0001389,Com_26038,-122.39669117002717,37.79089443330072,industrial,36.598
9,29,201006.0002437,Com_53860,-122.39891114998429,37.79215233803016,industrial,54.897
9,30,201006.0001895,Com_46652,-122.39427248249585,37.78952604257338,industrial,46.452
9,31,201006.0003335,Res_208558,-122.39534474294524,37.789809061048786,residential,38.104
9,32,201006.0007679,Res_208558,-122.395228053154,37.78965723988097,residential,38.104
9,33,201006.0002319,Res_118981,-122.39225262601295,37.78868286317088,residential,25.000
9,34,201006.0001282,Res_139537,-122.38937868432933,37.78838975136269,residential,37.782
9,35,201006.0005947,Com_28778,-122.3890190781193,37.78807225213442,industrial,402.580
10,0,201006.0022577,Res_265847,-122.40638380519677,37.79931331186431,residential,95.336
10,1,201006.0029005,Res_214280,-122.40587940580036,37.79932150772012,residential,108.697
10,2,201006.0039331,Res_502967,-122.40524007274925,37.799427347111546,residential,70.139
10,3,201006.0149551,Res_251238,-122.40488603593518,37.79946036407313,residential,115.822
10,4,201006.0104161,Res_251238,-122.4043031211761,37.79938840807017,residential,73.370
10,5,201006.0139855,Res_251238,-122.40384500881572,37.79935602748303,residential,74.679
10,6,201006.004949,Res_261790,-122.40361177939107,37.79941151491262,residential,63.316
10,7,201006.0158721,Res_251238,-122.4036108478021,37.79951098427845,residential,25.765
10,8,201006.0122914,Res_155037,-122.40362172633641,37.7995678526143,residential,25.000
10,9,201006.0060863,Res_261790,-122.40361311265855,37.79906340364869,residential,56.613
10,10,201006.0039592,Com_37670,-122.40325665867175,37.798124586900876,industrial,139.796
10,11,201006.0035945,Com_33501,-122.40312245068303,37.79793766323297,commercial,78.503
10,12,201006.0162497,Res_502967,-122.40318267337084,37.79786144656427,residential,78.503
10,13,201006.0003671,Com_16713,-122.4027059231345,37.797178988769005,industrial,241.548
10,14,201006.0005005,Com_18865,-122.4030684541202,37.79765214611518,industrial,301.935
10,15,201006.0015667,Com_25066,-122.40256423228361,37.79670454917869,commercial,70.411
10,16,201006.0010801,Com_48085,-122.40286502718192,37.79716093413953,industrial,110.493
10,17,201006.0001613,Com_25066,-122.40208577603653,37.7959704268769,commercial,134.193
10,18,201006.0004045,Com_17641,-122.4024381527997,37.79630263679065,industrial,603.870
10,19,201006.0003976,Com_46253,-122.40188795141789,37.795473063032425,industrial,134.193
10,20,201006.0017026,Com_36713,-122.40276591558042,37.79689544528743,industrial,159.422
10,21,201006.0016793,Com_19022,-122.40271968963532,37.79668590153481,commercial,91.788
10,22,201006.0002056,Com_39233,-122.4003489613821,37.79345973880585,industrial,120.774
10,23,201006.0008499,Com_29003,-122.39950133144504,37.79270868844515,industrial,172.534
10,24,201006.0002349,Com_34905,-122.39945719630863,37.7925169200986,industrial,150.967
10,25,201006.0004169,Com_46671,-122.40019885266368,37.7929629470304,industrial,100.645
10,26,201006.0002598,Com_52658,-122.39939203331646,37.79209672054838,industrial,150.967
10,27,201006.0002486,Com_46652,-122.39769717871818,37.79075032671629,industrial,603.870
10,28,201006.000241,Com_48434,-122.39932346519089,37.79184353079806,industrial,301.935
10,29,201006.0004637,Com_22978,-122.39319655013809,37.788758208819694,industrial,172.534
10,30,201006.0001897,Res_118981,-122.39190428362134,37.788384781405014,residential,25.000
10,31,201006.0001848,Com_42370,-122.39367962972543,37.78845517390013,industrial,75.484
10,32,201006.0000886,Res_268674,-122.38965594596682,37.788036969098734,residential,25.000
10,33,201006.0000913,Res_260901,-122.39265423360354,37.78820380911166,residential,25.252
10,34,201006.0001391,Com_28778,-122.38841856004917,37.78762192849733,industrial,301.935
10,35,201006.0001109,Res_157594,-122.39049451376262,37.78762408474748,residential,25.000
11,0,201006.0091525,Res_251238,-122.40633837328643,37.79871707158526,residential,72.464
11,1,201006.0109228,Res_218306,-122.40591017600848,37.79877774832789,residential,48.913
11,2,201006.0025917,Res_261790,-122.40542161544448,37.79867834043809,residential,80.164
11,3,201006.0002758,Res_265847,-122.40482025277824,37.79879839460344,residential,25.000
11,4,201006.0041514,Res_261790,-122.40421053738145,37.79878632474994,residential,53.035
11,5,201006.0132004,Res_261790,-122.40377208971897,37.798721902815906,residential,45.200
11,6,201006.015785,Res_251238,-122.40356337868246,37.798805811583144,residential,25.000
11,7,201006.0024565,Res_301286,-122.40338507313015,37.79811193146697,residential,106.631
11,8,201006.0140921,Com_37670,-122.4033302121418,37.79800303766024,industrial,139.796
11,9,201006.0022109,Com_34879,-122.40331869092542,37.79791775602575,industrial,68.841
11,10,201006.0007469,Com_52133,-122.4029881243613,37.79714320518449,industrial,181.614
11,11,201006.0063151,Com_52133,-122.40311183013509,37.79721524980442,industrial,74.497
11,12,201006.0015832,Com_34599,-122.40292336548427,37.796874839258244,commercial,83.052
11,13,201006.0015678,Com_43528,-122.40287768313027,37.79666764580726,commercial,172.646
11,14,201006.001484,Com_17641,-122.4026269255696,37.79631024716212,industrial,402.580
11,15,201006.0008949,Com_18865,-122.40276430541303,37.796335930604855,industrial,203.806
11,16,201006.0004857,Com_30057,-122.4025722064681,37.7960244706591,industrial,301.935
11,17,201006.0011388,Res_261790,-122.40265343896698,37.796145160091825,residential,70.094
11,18,201006.000295,Com_43430,-122.40251977388486,37.795840239223295,industrial,603.870
11,19,201006.0002689,Com_30381,-122.40100581524705,37.79380126589982,industrial,100.645
11,20,201006.0008904,Com_32693,-122.40165650696356,37.79428675182207,commercial,186.807
11,21,201006.0001717,Com_36069,-122.40084395602209,37.79339752799292,industrial,43.134
11,22,201006.0001172,Com_16955,-122.40192301064133,37.79458424422683,industrial,50.322
11,23,201006.0012413,Com_43596,-122.4016338830391,37.79407054336747,industrial,141.789
11,24,201006.0005559,Com_18802,-122.40015526342007,37.792362277258256,industrial,134.193
11,25,201006.0000518,Com_31105,-122.40044613132528,37.79259286879378,commercial,50.322
11,26,201006.000456,Com_23074,-122.39937212981648,37.79158502917156,industrial,92.903
11,27,201006.000194,Com_46652,-122.3982616019603,37.790719517963865,industrial,44.731
11,28,201006.0004866,Com_46652,-122.39776329423742,37.79033449375797,industrial,603.870
11,29,201006.0001981,Com_32831,-122.3975487616735,37.790173069563245,industrial,201.290
11,30,201006.0002725,Com_29003,-122.39862107322577,37.790945679261185,industrial,120.774
11,31,201006.0043957,Res_309813,-122.39307287815781,37.7881335893684,residential,25.000
11,32,201006.000313,Com_28778,-122.3900530800135,37.7875241646901,industrial,402.580
11,33,201006.0165633,Res_39953,-122.39027358933718,37.78751169915392,residential,25.000
11,34,201006.0165173,Res_139537,-122.3903557767013,37.78744478810514,residential,25.000
11,35,201006.0001722,Res_353580,-122.38877551650224,37.78733044170828,residential,25.000
12,0,201006.0012648,Res_251238,-122.40641565960031,37.79809994532471,residential,205.235
12,1,201006.0007387,Com_32309,-122.4057018845761,37.79819304637804,industrial,267.011
12,2,201006.0013382,Com_32309,-122.4052432808412,37.79789095298043,industrial,117.432
12,3,201006.0127849,Res_251238,-122.40483499835865,37.79828667203337,residential,55.637
